0	f13f8	8	3	7
1	f1400	8	6	12
2	f1408	8	1	1
3	f1410	8	10	11
4	f13d8	8	3	12
5	f13e0	8	6	12
6	f13e8	8	0	1
7	f13f0	8	10	11
8	f1418	95	0	53
9	f0000	0
10	f0000	0
11	f0000	0
12	f0000	0
13	f0000	0
14	f1577	95	0	255
15	f15d6	95	0	1
16	f1635	95	0	1
17	f1694	95	0	1
18	f16f3	95	0	3
19	f1752	95	0	1
20	f17b1	95	0	1
21	f1819	8	40	49
22	f1821	8	43	49
23	f1829	8	44	49
24	f1831	8	48	49
25	f1810	9	0	11
26	f1839	256	0	153
27	f1939	256	0	1
28	f1a39	256	0	1
29	f1b39	256	0	159
30	f1c39	256	0	1
31	f1d39	256	1	1
32	f1e39	256	0	249
33	f1f39	256	1	1
34	f2039	256	0	1
35	f2139	256	0	255
36	f2239	256	1	1
37	f2339	256	1	1
38	f2439	256	0	153
39	f2539	256	0	1
40	f2639	256	0	1
41	f2739	256	0	159
42	f2839	256	0	1
43	f2939	256	1	1
44	f2a39	256	0	249
45	f2b39	256	1	1
46	f2c39	256	0	1
47	f2d39	256	0	255
48	f2e39	256	1	1
49	f2f39	256	1	1
50	f3039	256	0	1
51	f1477	256	0	94
